Subject S015, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
S015_B2_1_1_1 	 0 	 89.7
S015_B2_1_2_1 	 89.7 	 149.5
S015_B2_1_3_1 	 149.5 	 299
S015_B2_1_4_1 	 299 	 508.3
S015_B2_1_5_1 	 508.3 	 627.9
S015_B2_1_6_1 	 627.9 	 687.7
S015_B2_1_7_1 	 687.7 	 747.5
S015_B2_1_8_1 	 747.5 	 867.1
S015_B2_1_9_1 	 867.1 	 956.8
S015_B2_1_10_1 	 956.8 	 1136.2
S015_B2_1_11_1 	 1136.2 	 1285.7
S015_B2_1_12_1 	 1285.7 	 1375.4
S015_B2_1_13_1 	 1375.4 	 1495
S015_B2_1_14_1 	 1495 	 1554.8
S015_B2_1_15_1 	 1554.8 	 1644.5
S015_B2_1_16_1 	 1644.5 	 1704.3
S015_B2_1_17_1 	 1704.3 	 1794
S015_B2_1_18_1 	 1794 	 1883.7
S015_B2_1_19_1 	 1883.7 	 2003.3
S015_B2_1_20_1 	 2003.3 	 2152.8
S015_B2_1_21_1 	 2152.8 	 2212.6
S015_B2_1_22_1 	 2212.6 	 2302.3
S015_B2_1_23_1 	 2302.3 	 2392
S015_B2_1_24_1 	 2392 	 2511.6
S015_B2_1_25_1 	 2511.6 	 2571.4
S015_B2_1_26_1 	 2571.4 	 2661.1
S015_B2_1_27_1 	 2661.1 	 2780.7
S015_B2_1_28_1 	 2780.7 	 2840.5
S015_B2_1_29_1 	 2840.5 	 2930.2
S015_B2_1_30_1 	 2930.2 	 2990
S015_B2_1_31_1 	 2990 	 3139.5
S015_B2_1_32_1 	 3139.5 	 3199.3
S015_B2_1_33_1 	 3199.3 	 3259.1
S015_B2_1_34_1 	 3259.1 	 3378.7
S015_B2_1_35_1 	 3378.7 	 3468.4
S015_B2_1_36_1 	 3468.4 	 3528.2
S015_B2_1_37_1 	 3528.2 	 3617.9
S015_B2_1_38_1 	 3617.9 	 3737.5
S015_B2_1_39_1 	 3737.5 	 3827.2
S015_B2_1_40_1 	 3827.2 	 3916.9
S015_B2_1_41_1 	 3916.9 	 3976.7
S015_B2_1_42_1 	 3976.7 	 4096.3
S015_B2_1_43_1 	 4096.3 	 4186
S015_B2_1_44_1 	 4186 	 4305.6
S015_B2_1_45_1 	 4305.6 	 4365.4
S015_B2_1_46_1 	 4365.4 	 4425.2
S015_B2_1_47_1 	 4425.2 	 4485
S015_B2_1_48_1 	 4485 	 4664.4
S015_B2_1_49_1 	 4664.4 	 4784
S015_B2_1_50_1 	 4784 	 4873.7
S015_B2_1_51_1 	 4873.7 	 5008.25
S015_B2_1_52_1 	 5008.25 	 5112.9
S015_B2_1_53_1 	 5112.9 	 5262.4
S015_B2_1_54_1 	 5262.4 	 5352.1
S015_B2_1_55_1 	 5352.1 	 5471.7
S015_B2_1_56_1 	 5471.7 	 5591.3
S015_B2_1_57_1 	 5591.3 	 5710.9
S015_B2_1_58_1 	 5710.9 	 5800.6
S015_B2_1_59_1 	 5800.6 	 5920.2
S015_B2_1_60_1 	 5920.2 	 5980
S015_B2_1_61_1 	 5980 	 6129.5
S015_B2_2_1_1 	 6129.5 	 6308.9
S015_B2_2_2_1  	 6308.9 	 6311.89
S015_B2_2_3_1 	 6311.89 	 6548.1
S015_B2_2_4_1 	 6548.1 	 6787.3
S015_B2_2_5_1 	 6787.3 	 7026.5
S015_B2_2_6_1 	 7026.5 	 7235.8
S015_B2_2_7_1 	 7235.8 	 7504.9
S015_B2_2_8_1 	 7504.9 	 7684.3
S015_B2_2_9_1 	 7684.3 	 7953.4
S015_B2_2_10_1 	 7953.4 	 8222.5
S015_B2_2_11_1 	 8222.5 	 8491.6
S015_B2_2_12_1 	 8491.6 	 8730.8
S015_B2_2_13_1 	 8730.8 	 8999.9
S015_B2_2_14_1 	 8999.9 	 9239.1
S015_B2_2_15_1 	 9239.1 	 9388.6
S015_B2_2_16_1 	 9388.6 	 9597.9
S015_B2_2_17_1 	 9597.9 	 9837.1
S015_B2_2_18_1 	 9837.1 	 9840.09
S015_B2_2_19_1 	 9837.1 	 10076.3
S015_B2_2_20_1 	 10076.3 	 10285.6
S015_B2_2_21_1 	 10285.6 	 10465
S015_B2_2_22_1 	 10465 	 10644.4
S015_B2_2_23_1 	 10644.4 	 10973.3
S015_B2_100 	 10973.3 	 11200
