Subject S030, Block B2: 

Utterance 	 Begin 	 End 
--------- 	 ----- 	 --- 
S030_B2_1_1_1 	 30 	 90
S030_B2_1_2_1 	 90 	 170
S030_B2_1_3_1 	 170 	 270
S030_B2_1_4_1 	 270 	 330
S030_B2_1_5_1 	 330 	 420
S030_B2_1_6_1 	 420 	 465
S030_B2_1_7_1 	 465 	 510
S030_B2_1_8_1 	 510 	 570
S030_B2_1_9_1 	 570 	 645
S030_B2_1_10_1 	 645 	 720
S030_B2_1_11_1 	 720 	 810
S030_B2_1_12_1 	 810 	 885
S030_B2_1_13_1 	 885 	 945
S030_B2_1_14_1 	 945 	 1125
S030_B2_1_15_1 	 1125 	 1170
S030_B2_1_16_1 	 1170 	 1245
S030_B2_1_17_1 	 1245 	 1350
S030_B2_1_18_1 	 1350 	 1425
S030_B2_1_19_1 	 1425 	 1500
S030_B2_1_20_1 	 1500 	 1638
S030_B2_1_21_1 	 1638 	 1680
S030_B2_1_22_1 	 1680 	 1740
S030_B2_1_23_1 	 1740 	 1800
S030_B2_1_24_1 	 1800 	 1890
S030_B2_1_25_1 	 1890 	 1980
S030_B2_1_26_1 	 1980 	 2070
S030_B2_1_27_1 	 2070 	 2160
S030_B2_1_28_1 	 2160 	 2250
S030_B2_1_29_1 	 2250 	 2370
S030_B2_1_30_1 	 2370 	 2400
S030_B2_1_31_1 	 2400 	 2475
S030_B2_1_32_1 	 2475 	 2550
S030_B2_1_33_1 	 2550 	 2610
S030_B2_1_34_1 	 2610 	 2700
S030_B2_1_35_1 	 2700 	 2760
S030_B2_1_36_1 	 2760 	 2820
S030_B2_1_37_1 	 2820 	 2910
S030_B2_1_38_1 	 2910 	 2970
S030_B2_1_39_1 	 2970 	 3060
S030_B2_1_40_1 	 3060 	 3120
S030_B2_1_41_1 	 3120 	 3180
S030_B2_1_42_1 	 3180 	 3270
S030_B2_1_43_1 	 3270 	 3330
S030_B2_1_44_1 	 3330 	 3420
S030_B2_1_45_1 	 3420 	 3480
S030_B2_1_46_1 	 3480 	 3540
S030_B2_1_47_1 	 3540 	 3600
S030_B2_1_48_1 	 3600 	 3660
S030_B2_1_49_1 	 3660 	 3750
S030_B2_1_50_1 	 3750 	 3840
S030_B2_1_51_1 	 3840 	 3900
S030_B2_1_52_1 	 3900 	 3990
S030_B2_1_53_1 	 3990 	 135.5
S030_B2_1_54_1 	 4051.45 	 4126.2
S030_B2_1_55_1 	 4126.2 	 4186
S030_B2_1_56_1 	 4186 	 4305.6
S030_B2_1_57_1 	 4305.6 	 4365.4
S030_B2_1_58_1 	 4365.4 	 4485
S030_B2_1_59_1 	 4485 	 4574.7
S030_B2_1_60_1 	 4574.7 	 4604.6
S030_B2_1_61_1 	 4604.6 	 4694.3
S030_B2_2_1_1 	 4694.3 	 4813.9
S030_B2_2_2_1 	 4813.9 	 4903.6
S030_B2_2_3_1 	 4903.6 	 5023.2
S030_B2_2_4_1 	 5023.2 	 5172.7
S030_B2_2_5_1 	 5172.7 	 5292.3
S030_B2_2_6_1 	 5292.3 	 5441.8
S030_B2_2_7_1 	 5441.8 	 5621.2
S030_B2_2_8_1 	 5621.2 	 5710.9
S030_B2_2_9_1 	 5710.9 	 5815.55
S030_B2_2_10_1 	 5815.55 	 5980
S030_B2_2_11_1 	 5980 	 6129.5
S030_B2_2_12_1 	 6129.5 	 6219.2
S030_B2_2_13_1 	 6219.2 	 6338.8
S030_B2_2_14_1 	 6338.8 	 6458.4
S030_B2_2_15_1 	 6482.32 	 6518.2
S030_B2_2_16_1 	 6518.2 	 6727.5
S030_B2_2_17_1 	 6727.5 	 6802.25
S030_B2_2_18_1 	 6802.25 	 6936.8
S030_B2_2_19_1 	 6936.8 	 7056.4
S030_B2_2_20_1 	 7056.4 	 7205.9
S030_B2_2_21_1 	 7205.9 	 7355.4
S030_B2_2_22_1 	 7355.4 	 7564.7
S030_B2_2_23_1 	 7564.7 	 7744.1
S030_B2_100 	 7744.1 	 8044.1
